brand,product_name,protein_pct,fat_pct,carb_pct,phosphorus_mg_per_100kcal,calories,serving_size_oz,not_recommended,supplemental_only,source
COMPANY,Chicken & Pumpkin Samba,57.0,22.0,21.0,471.0,68.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
COMPANY,Big Kahuna w/Crab & Tilapia,73.0,25.0,2.0,330.0,67.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
COMPANY,Bimini Brunch w/Krill & Egg,72.0,28.0,0.0,318.0,70.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
APPLAWS,Tuna in Gravy in Gravy,66.0,28.0,7.0,296.0,65.0,5.5,FALSE,TRUE,"Pierson, L.A. (2017). catinfo.org"
APPLAWS,Tuna & Chicken in Gravy,65.0,28.0,7.0,300.0,65.0,5.5,FALSE,TRUE,"Pierson, L.A. (2017). catinfo.org"
APPLAWS,Tuna & Salmon in Gravy,63.0,30.0,7.0,297.0,66.0,5.5,FALSE,TRUE,"Pierson, L.A. (2017). catinfo.org"
APPLAWS,Tuna & Shrimp in Gravy,67.0,27.0,6.0,299.0,65.0,5.5,FALSE,TRUE,"Pierson, L.A. (2017). catinfo.org"
APPLAWS,Tuna & Pumpkin in Gravy,65.0,27.0,7.0,298.0,64.0,5.5,FALSE,TRUE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Chicken Formula,31.0,60.0,9.0,200.0,191.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Ocean Fish Formula,34.0,58.0,8.0,274.0,171.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Salmon Formula,35.0,56.0,10.0,244.0,198.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Indoor Weight Control,33.0,46.0,20.0,249.0,151.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna in Gravy,66.0,24.0,10.0,339.0,53.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Ocean Fish in Gravy,59.0,29.0,12.0,316.0,53.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Salmon in Gravy,54.0,33.0,13.0,462.0,53.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Chicken & Duck in Gravy,45.0,40.0,14.0,325.0,57.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Bonito Be Mine,68.0,30.0,2.0,240.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna Too Cool,69.0,29.0,2.0,248.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Shrimp Sweethearts,64.0,33.0,2.0,236.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Pumpkin Valentine,64.0,31.0,5.0,243.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Salmon Soulmates,66.0,32.0,2.0,236.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Tilapia Twosome,68.0,30.0,2.0,240.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Chicken 4-EVA,69.0,29.0,2.0,234.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Chicken Chuckles,69.0,29.0,2.0,237.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Chicken Charm Me,59.0,32.0,9.0,195.0,61.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Turkey Tickles,54.0,32.0,14.0,195.0,65.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Duck Devour Me,54.0,34.0,13.0,177.0,62.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Lamb Luv Ya,55.0,30.0,15.0,207.0,66.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
AVODERM,Tuna & Beef Babycakes,56.0,29.0,15.0,199.0,60.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - GRAVY,"Chicken, Beef & Carrot",46.0,47.0,7.0,305.0,73.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - GRAVY,Salmon & Sweet Potato,49.0,42.0,9.0,344.0,76.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - GRAVY,Tuna Mackerel & Carrot,48.0,38.0,13.0,376.0,71.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Chicken & Sweet Potato,35.0,63.0,3.0,369.0,99.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Wild Salmon,36.0,63.0,2.0,369.0,100.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Trout & Catfish,38.0,61.0,1.0,372.0,99.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Artic Char & Spinach,33.0,65.0,2.0,228.0,100.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Duck & Sweet Potato,35.0,63.0,2.0,375.0,100.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - PATE,Quail & Carrot,42.0,55.0,3.0,413.0,92.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - GRAVY,Chicken & Brown Rice Pate,36.0,61.0,3.0,388.0,97.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BEYOND - GRAVY,Salmon & Brown Rice Pate,35.0,63.0,2.0,362.0,101.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Kitten Chicken,30.0,65.0,5.0,341.0,122.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Flaked Fish & Shrimp,44.0,43.0,13.0,451.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Pate Indoor Chicken,34.0,58.0,8.0,385.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Mature Pate Chicken,31.0,57.0,11.0,395.0,92.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Kitten,30.0,64.0,6.0,373.0,116.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Chicken,35.0,58.0,7.0,398.0,85.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Fish,35.0,58.0,7.0,398.0,85.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Flaked Fish in Gravy,37.0,51.0,12.0,445.0,84.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Mature Chicken,33.0,59.0,8.0,411.0,91.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Kitten Turkey & Potato,32.0,60.0,9.0,390.0,109.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Turkey & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Duck & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Fish & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Mature Chicken,29.0,60.0,11.0,424.0,96.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Chicken & Salmon in Gravy,37.0,54.0,10.0,418.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Minced Chicken & Turkey,37.0,54.0,10.0,418.0,157.0,5.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Minced Chicken & Trout,37.0,54.0,10.0,418.0,151.0,5.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Flaked Red Meat,37.0,51.0,12.0,434.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Flaked Trout,37.0,51.0,12.0,434.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Chicken, Turkey, Lamb",29.0,66.0,5.0,239.0,199.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon & Mackerel,38.0,62.0,0.0,247.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey & Rabbit Slices,36.0,57.0,7.0,283.0,85.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Duck & Duck Liver Slices,38.0,51.0,11.0,337.0,76.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon Slices,32.0,64.0,4.0,223.0,87.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken Pate,28.0,68.0,4.0,224.0,110.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Chicken, Lamb & Fish",30.0,57.0,13.0,226.0,188.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken & Rice,27.0,64.0,9.0,227.0,188.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Indoor Chicken, Lamb & Fish",30.0,63.0,7.0,280.0,172.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken,27.0,64.0,9.0,227.0,106.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey,36.0,53.0,11.0,285.0,81.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Lamb,35.0,59.0,7.0,233.0,84.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Ocean Fish,35.0,53.0,12.0,279.0,78.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Yellowfin Tuna,38.0,52.0,10.0,223.0,76.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon,35.0,59.0,6.0,254.0,81.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken,28.0,69.0,4.0,262.0,106.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey,29.0,67.0,4.0,368.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Duck,28.0,70.0,3.0,242.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon,37.0,63.0,1.0,243.0,95.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Seafood,37.0,58.0,5.0,369.0,77.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Trout,29.0,68.0,3.0,314.0,79.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Wingin’ it Chicken & Turkey,39.0,51.0,10.0,315.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Big Catch Tuna & Sardine,50.0,42.0,8.0,358.0,80.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Adult Formula,31.0,62.0,7.0,218.0,194.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Duck,37.0,62.0,1.0,387.0,190.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Kitten,36.0,58.0,6.0,298.0,208.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Weight & Mature Care,41.0,51.0,8.0,245.0,146.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Salmon Limited Ingredient,46.0,52.0,2.0,481.0,167.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken,33.0,64.0,3.0,286.0,186.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Turkey,33.0,64.0,3.0,288.0,183.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Turkey & Giblets,29.0,68.0,4.0,216.0,195.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Beef & Chicken Dinner,29.0,68.0,4.0,182.0,195.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Whitefish,28.0,69.0,4.0,209.0,197.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Vegetable,33.0,52.0,16.0,300.0,171.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Salmon & Vegetable,29.0,58.0,13.0,381.0,171.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Trout & Brown Rice,30.0,59.0,11.0,242.0,190.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Chicken,29.0,64.0,8.0,204.0,208.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Turkey,34.0,57.0,10.0,250.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Chicken & Fish,36.0,45.0,19.0,254.0,201.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Chicken Catcciatori,54.0,27.0,20.0,240.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Monterey Medley,66.0,23.0,10.0,275.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Catalina Catch,70.0,29.0,1.0,291.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Harbor Harvest,57.0,28.0,15.0,281.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
